commit,conf_high,conf_medium,conf_low,sev_high,sev_medium,sev_low,unique_cwes
d8f0939,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
c28f821,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
ec8cbea,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
61dae11,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
f5772de,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
22fc151,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
337c641,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
626d77e,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
5244ecb,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
862b7f9,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
136a1e8,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
